author_year_key,group_status,source_frames,source_ids,citations,species,existing_egwee_programmes,resolution_rule
bartlewicz|2015,probable_same_publication,SF04;SF06,SF04R01;SF06P013,Bartlewicz et al. (2015) Biological Journal of the Linnean Society 116: 603-613 || Bartlewicz et al. (2015) Biological Journal of the Linnean Society 116:603- 613,Linaria vulgaris || Linaria_vulgaris,,confirm by full citation/DOI before collapsing
browne|2015,probable_same_publication,SF04;SF05,SF04R18;53,"Browne et al. (2015) Heredity 115: 389-395 || Browne, L., Ottewell, K., Karubian, J., 2015. Short-term genetic consequences of habitat loss and fragmentation for the neotropical palm Oenocarpus bataua. Heredity (Edinb). 115, 389–395. https://doi.org/10.1038/hdy.2015.35",Oenocarpus batawa || Oenocarpus bataua,,confirm by full citation/DOI before collapsing
chung|2007,ambiguous_author_year_collision,SF04;SF05,SF04R04;69,"Chung & Nason (2007) Biological Conservation 137: 125-137 || Chung, M.Y., Nason, J.D., Chung, M.G., 2007. Effects of population succession on demographic and genetic processes: Predictions and tests in the daylily Hemerocallis thunbergii (Liliaceae). Mol. Ecol. 16, 2816–2829. https://doi.org/10.1111/j.1365-294X.2007.03361.x",Cymbidium goeringii || Hemerocallis thunbergii,,keep separate unless full citation/DOI later proves identity
collevatti|2014,probable_same_publication,SF04;SF05,SF04R03;62,"Collevatti et al. (2014) Plant Systematics and Evolution 300: 1719-172 || Collevatti, R.G., Telles, M.P.C., Lima, J.S., Gouveia, F.O., Soares, T.N., 2014. Contrasting spatial genetic structure in Annona crassiflora populations from fragmented and pristine savannas. Plant Syst. Evol. 300, 1719–1727. https://doi.org/10.1007/s00606-014-0997-9",Annona crassiflora || Annona crassiflora,,confirm by full citation/DOI before collapsing
giombini|2017,probable_same_publication,SF04;SF05,SF04R20;75,"Giombini et al. (2017) Heredity 118: 568-577 || Giombini, M.I., Bravo, S.P., Sica, Y. V., Tosto, D.S., 2017. Early genetic consequences of defaunation in a large-seeded vertebrate-dispersed palm (Syagrus romanzoffiana). Heredity (Edinb). 118, 568–577. https://doi.org/10.1038/hdy.2016.130",Syagrus romanzoffiana || Syagrus romanzoffiana,,confirm by full citation/DOI before collapsing
jacquemyn|2006,ambiguous_author_year_collision,SF05;SF06,64;SF06P103,"Jacquemyn, H., Brys, R., Vandepitte, K., Honnay, O., Roldán-Ruiz, I., 2006. Fine-scale genetic structure of life history stages in the food-deceptive orchid Orchis purpurea. Mol. Ecol. 15, 2801–2808. https://doi.org/10.1111/j.1365-294X.2006.02978.x || Jacquemyn et al. (2006) Oecologia 147:434- 444",Orchis purpurea || Paris_quadrifolia,,keep separate unless full citation/DOI later proves identity
jacquemyn|2009,ambiguous_author_year_collision,SF05;SF06,65;SF06P105,"Jacquemyn, H., Wiegand, T., Vandepitte, K., Brys, R., Roldán-Ruiz, I., Honnay, O., 2009. Multigenerational analysis of spatial structure in the terrestrial, food-deceptive orchid Orchis mascula. J. Ecol. 97, 206–216. https://doi.org/10.1111/j.1365-2745.2008.01464.x || Jacquemyn et al. (2009) Biology Letters 5:495- 498",Orchis mascula || Neottia_ovata; Orchis_purpurea,,keep separate unless full citation/DOI later proves identity
lompo|2020,probable_same_publication,SF05;SF06,93;SF06P138,"Lompo, D., Vinceti, B., Konrad, H., Duminil, J., Geburek, T., 2020. Fine-scale spatial genetic structure, mating, and gene dispersal patterns in Parkia biglobosa populations with different levels of habitat fragmentation. Appl. Plant Sci. 107, 1041–1053. https://doi.org/10.1002/ajb2.1504 || Lompo et al. (2020) American Journal of Botany 107:1041- 1053",Parkia biglobosa || Parkia_biglobosa,P2_SF05_93,confirm by full citation/DOI before collapsing
pellegrino|2015,probable_same_publication,SF04;SF06,SF04R35;SF06P175,Pellegrino et al. (2015) BMC Plant Biology 15: art222 || Pellegrino et al. (2015) BMC Plant Biology 15:1- 10,Serapias lingua || Serapias_lingua,ML001,confirm by full citation/DOI before collapsing
zhao|2009,ambiguous_author_year_collision,SF05;SF06,81;SF06P251,"Zhao, R., Xia, H., Lu, B.R., 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja; Fabaceae) populations. Am. J. Bot. 96, 1138–1147. https://doi.org/10.3732/ajb.0800173 || Zhao et al. (2009) American Journal of Botany 96:1138- 1147",Glycine soja || Glycine_max,,keep separate unless full citation/DOI later proves identity
