site,crop,transect,area_km2
Buntine,Canola,Core,38.03
Buntine,Canola,Edge,38.03
Buntine,Wheat,Core,38.03
Buntine,Wheat,Edge,38.03
Latham,Wheat,Edge,0.81
LathamPrivate,Wheat,Edge,2.72
Maya,Canola,Core,2.53
Maya,Canola,Edge,2.53
MayaPrivate,Canola,Core,6.38
MayaPrivate,Canola,Edge,6.38
Milton,Wheat,Core,4.14
Milton,Wheat,Edge,4.14
WA12427,Canola,Core,1.1
WA12428,Canola,Edge,1.1
WA12429,Wheat,Core,1.1
WA12430,Wheat,Edge,1.1
XantippeEast,Wheat,Core,2.6
XantippeEast,Wheat,Edge,2.6
XantippeTank,Canola,Core,2.07
XantippeTank,Canola,Edge,2.07
