study_id,cluster_id,population,habitat,C_paternity_rp,F_TPDW_site_mean,G_adult_Ho_raw_diagnostic,G_progeny_Ho_raw_diagnostic,n_maternal_trees_vigor,n_adult_genotype_rows,n_progeny_genotype_rows,raw_file_id,raw_file_md5,note
PS004,ML002,ASE,FRA,0.246,0.287055281882,0.585227272727,0.525974025974,5,22,77,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"F is maternal-tree then site aggregated; G values remain diagnostic pending publication-summary reconciliation."
PS004,ML002,CAR,CON,0.164,0.415698052112,0.540178571429,0.585900473934,14,56,211,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"F is maternal-tree then site aggregated; G values remain diagnostic pending publication-summary reconciliation."
PS004,ML002,CHA,CON,0.106,0.431363756818,0.617424242424,0.598880597015,7,33,67,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"F is maternal-tree then site aggregated; G values remain diagnostic pending publication-summary reconciliation."
PS004,ML002,CUI,CON,0.107,0.468737616759,0.590909090909,0.548750000000,10,55,100,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"Raw workbook code CUI corresponds to source study site Cuixmala. F is maternal-tree then site aggregated; G remains diagnostic."
PS004,ML002,TEC,FRA,0.208,0.417356383076,0.734375000000,0.638888888889,4,8,63,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"F is maternal-tree then site aggregated; G values remain diagnostic pending publication-summary reconciliation."
PS004,ML002,ZAP,FRA,0.191,0.368315419111,0.645833333333,0.609154929577,4,6,71,39338195,049db31f8ebcec42c4c44ebe4a6af70a,"F is maternal-tree then site aggregated; G values remain diagnostic pending publication-summary reconciliation."
