population,exposure_group,pop_area_m2,pop_size,pop_density,fruit_set_pct,viable_seeds_pct,pollen_immigration_pct,observed_heterozygosity,expected_heterozygosity,FIS
A,natural,3578.25,2800,0.78,13.58,82.78,28.68,0.784,0.774,-0.12
B,natural,2540.20,2000,0.79,20.30,79.85,32.02,0.774,0.752,-0.04
C,anthropic,64.20,302,4.70,5.20,78.55,9.38,0.418,0.594,0.25
D,natural,3451.22,3000,0.87,14.23,81.21,28.34,0.789,0.755,-0.07
E,natural,2962.40,2500,0.84,15.60,85.35,27.49,0.776,0.762,-0.02
F,anthropic,55.80,321,5.75,5.50,81.21,11.11,0.422,0.524,0.28
G,anthropic,65.54,284,4.31,5.10,82.24,7.14,0.382,0.516,0.22
H,natural,4585.30,3200,0.70,14.68,82.54,30.53,0.782,0.789,-0.08
I,natural,2542.60,2200,0.86,16.75,79.65,28.64,0.777,0.778,-0.04
