openalex_id,resolved_doi,resolved_title,seed_ids,n_seed_ids,canonical_seed_id,identity_action,outcome_opened
W1979838061,10.1046/j.1523-1739.2000.98609.x,Effects of Habitat Fragmentation on the Reproductive Ecology of Four Plant Species in Mallee Woodland,CF01S0155;CF01S0156,2,CF01S0155,expand_work_once_preserve_all_seed_provenance,no
W1986673290,10.1111/j.0022-0477.2004.00893.x,"Pollinator visitation, stigmatic pollen loads and among‐population variation in seed set in Lythrum salicaria",CF01S0333;CF01S0334,2,CF01S0333,expand_work_once_preserve_all_seed_provenance,no
W2033322335,10.3732/ajb.1300460,Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity,CF01S0064;CF01S0065,2,CF01S0064,expand_work_once_preserve_all_seed_provenance,no
W2120981670,10.1046/j.1523-1739.2002.99515.x,Effects of Habitat Fragmentation on Pollinator Diversity and Plant Reproductive Success in Renosterveld Shrublands of South Africa,CF01S0168;CF01S0169,2,CF01S0168,expand_work_once_preserve_all_seed_provenance,no
