source_frame,source_id,citation,doi,species,author_norm,year,author_year_key,cross_frame_group_status,existing_egwee_programme,identity_action,outcome_opened
SF04,SF04R01,Bartlewicz et al. (2015) Biological Journal of the Linnean Society 116: 603-613,,Linaria vulgaris,bartlewicz,2015,bartlewicz|2015,probable_same_publication_needs_identity_confirmation,,review_once_cross_frame_do_not_double_count,no
SF04,SF04R02,Cunha et al. (2011) Genetica 139: 1159-1168,,Dalbergia nigra,cunha,2011,cunha|2011,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R03,Collevatti et al. (2014) Plant Systematics and Evolution 300: 1719-172,,Annona crassiflora,collevatti,2014,collevatti|2014,probable_same_publication_needs_identity_confirmation,,review_once_cross_frame_do_not_double_count,no
SF04,SF04R04,Chung & Nason (2007) Biological Conservation 137: 125-137,,Cymbidium goeringii,chung,2007,chung|2007,author_year_collision_species_disagree,,keep_separate_unless_full_citation_or_doi_proves_identity,no
SF04,SF04R05,Souto & Premoli (2003) Botanical Bulletin Academia Sinica Taipei 44: 329-336,,Alstroemeria aurea,souto,2003,souto|2003,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R06,Farwig et al. (2008) Conservation Genetics 9: 317-326,,Prunus africana,farwig,2008,farwig|2008,no_cross_frame_author_year_collision,P2_CF01_GPAIR_003,link_existing_egwee_programme_do_not_recruit_as_new,no
SF04,SF04R07,Suni & Whiteley (2015) Conservation Genetics 16: 1431-1442,,ipomosis aggregata,suni,2015,suni|2015,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R08,Korshikov et al. (2015) Cytology and Genetics 49: 102-108,,Pinus brutia,korshikov,2015,korshikov|2015,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R09,Rymer et al. (2015) Heredity 115: 115-124,,Pachira quinata,rymer,2015,rymer|2015,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R10,Jump & Peñuelas (2006) Proceedings of the National Academy of Sciences USA 103: 8096-8100,,Fagus sylvatica,jump,2006,jump|2006,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R11,White & Powell (1997) Molecular Ecology 6: 851-860,,Swietenia humilis,white,1997,white|1997,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R12,Novick et al. (2003) Molecular Ecology 12: 2885-2893,,Swietenia macrophylla,novick,2003,novick|2003,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R13,Gómez-Fernández et al. (2016) Conservation Genetics 17: 631-641,,Lepidium subulatum,gomez,2016,gomez|2016,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R14,Addisalem et al. (2016) Forest Ecology and Management 360: 253-260,,Boswellia papyrifera,addisalem,2016,addisalem|2016,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R15,Li et al. (2015) Pakistan Journal of Botany 47: 2171-2179,,Sauvagesia rhodoleuca,li,2015,li|2015,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R16,Baucom et al. (2005) Conservation Genetics 6: 39-50,,Acer saccharum,baucom,2005,baucom|2005,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R17,Peñaloza-Ramírez et al. (2016) Revista Mexicana de Biodiversidad 87: 990-1001,,Chamaedorea alternans,penaloza,2016,penaloza|2016,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
SF04,SF04R18,Browne et al. (2015) Heredity 115: 389-395,,Oenocarpus batawa,browne,2015,browne|2015,probable_same_publication_needs_identity_confirmation,,review_once_cross_frame_do_not_double_count,no
SF04,SF04R19,Sujii et al. (2017) Biological Conservation 211: 110-116,,Centrolobium tomentosum,sujii,2017,sujii|2017,no_cross_frame_author_year_collision,,screen_as_source_frame_record,no
